track_name,artist,genre,track_uri,track_link,track_preview,album
Dust in the Wind,Kansas,Rock,spotify:track:6zeE5tKyr8Nu882DQhhSQI,https://open.spotify.com/track/6zeE5tKyr8Nu882DQhhSQI,https://p.scdn.co/mp3-preview/ddfc248171b5199053bafdefbc94ab5b335faa48?cid=334acd00a2d445cb9077c0c4cf57f5a9,Point Of Know Return (Expanded Edition)
Runaway,Bon Jovi,Rock,spotify:track:0X1sqQ652p1sceKM2nJlIJ,https://open.spotify.com/track/0X1sqQ652p1sceKM2nJlIJ,,Bon Jovi
Another One Bites The Dust - Remastered 2011,Queen,Rock,spotify:track:57JVGBtBLCfHw2muk5416J,https://open.spotify.com/track/57JVGBtBLCfHw2muk5416J,,The Game (Deluxe Remastered Version)
Paradise City,Guns N' Roses,Rock,spotify:track:3YBZIN3rekqsKxbJc9FZko,https://open.spotify.com/track/3YBZIN3rekqsKxbJc9FZko,,Appetite For Destruction
Basket Case,Green Day,Rock,spotify:track:6L89mwZXSOwYl76YXfX13s,https://open.spotify.com/track/6L89mwZXSOwYl76YXfX13s,https://p.scdn.co/mp3-preview/f055a866d726bac8593f15953d772c631505df7e?cid=334acd00a2d445cb9077c0c4cf57f5a9,Dookie
Losing My Religion,R.E.M.,Rock,spotify:track:4d9RTWdrFLVAGhdzvqxkwn,https://open.spotify.com/track/4d9RTWdrFLVAGhdzvqxkwn,,Out Of Time
House Of The Rising Sun,The Animals,Rock,spotify:track:61Q9oJNd9hJQFhSDh6Qlap,https://open.spotify.com/track/61Q9oJNd9hJQFhSDh6Qlap,https://p.scdn.co/mp3-preview/4d753f2d9dcaf048ba216a6bd10bea25473b47d5?cid=334acd00a2d445cb9077c0c4cf57f5a9,The Best Of The Animals
Have You Ever Seen The Rain,Creedence Clearwater Revival,Rock,spotify:track:2LawezPeJhN4AWuSB0GtAU,https://open.spotify.com/track/2LawezPeJhN4AWuSB0GtAU,,Pendulum (Expanded Edition)
You Shook Me All Night Long,AC/DC,Rock,spotify:track:2SiXAy7TuUkycRVbbWDEpo,https://open.spotify.com/track/2SiXAy7TuUkycRVbbWDEpo,https://p.scdn.co/mp3-preview/3b01294b6b0458fea6ed5a88ea1b1593eb495ead?cid=334acd00a2d445cb9077c0c4cf57f5a9,Back In Black
Long Cool Woman (In a Black Dress) - 1999 Remaster,The Hollies,Rock,spotify:track:5UwbnHhjnbinJH8TefuQfN,https://open.spotify.com/track/5UwbnHhjnbinJH8TefuQfN,https://p.scdn.co/mp3-preview/dff9b948ac679e1a2041e69e3e83c41c966a0a12?cid=334acd00a2d445cb9077c0c4cf57f5a9,Distant Light (1999 Remaster)
Paranoid,Black Sabbath,Rock,spotify:track:1Ly0ssAgeM7YqdHptao8Oe,https://open.spotify.com/track/1Ly0ssAgeM7YqdHptao8Oe,https://p.scdn.co/mp3-preview/8b4eb14f1ee6731c90c04cf006b3f18fe0cebaa0?cid=334acd00a2d445cb9077c0c4cf57f5a9,Greatest Hits
Welcome To The Jungle,Guns N' Roses,Rock,spotify:track:0eFvoRSTTaR2q8bSWVjwfp,https://open.spotify.com/track/0eFvoRSTTaR2q8bSWVjwfp,,Greatest Hits
November Rain - 2022 Version,Guns N' Roses,Rock,spotify:track:5O4Gs450ApGmBTGypjWDeQ,https://open.spotify.com/track/5O4Gs450ApGmBTGypjWDeQ,,November Rain / Double Talkin' Jive / You Could Be Mine
Free Bird,Lynyrd Skynyrd,Rock,spotify:track:4JNi40t7xR5bO3PWxRkiPN,https://open.spotify.com/track/4JNi40t7xR5bO3PWxRkiPN,,(Pronounced 'Leh-'Nérd 'Skin-'Nérd) [Expanded Edition]
The Chain,Fleetwood Mac,Rock,spotify:track:2X6gdRlGOQgfaXU9ALUQFQ,https://open.spotify.com/track/2X6gdRlGOQgfaXU9ALUQFQ,https://p.scdn.co/mp3-preview/9cd01344e96f8dfaf0fb47fbb36d9da930daab2f?cid=334acd00a2d445cb9077c0c4cf57f5a9,Rumours
Every Breath You Take - Remastered 2003,The Police,Rock,spotify:track:2sXp9Qmvc7mRaDBjBgcGGi,https://open.spotify.com/track/2sXp9Qmvc7mRaDBjBgcGGi,,Synchronicity
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Rock,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,https://open.spotify.com/track/2PzU4IB8Dr6mxV3lHuaG34,,Out Of Our Heads
Whole Lotta Love - 1990 Remaster,Led Zeppelin,Rock,spotify:track:0hCB0YR03f6AmQaHbwWDe8,https://open.spotify.com/track/0hCB0YR03f6AmQaHbwWDe8,https://p.scdn.co/mp3-preview/89f3dc45265602fa874c23d638538af0f2c6b56a?cid=334acd00a2d445cb9077c0c4cf57f5a9,Led Zeppelin II (1994 Remaster)
Under the Bridge,Red Hot Chili Peppers,Rock,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,https://open.spotify.com/track/3d9DChrdc6BOeFsbrZ3Is0,https://p.scdn.co/mp3-preview/46b0229c06712c5b5e143724c0617e51a9b6e432?cid=334acd00a2d445cb9077c0c4cf57f5a9,Blood Sugar Sex Magik (Deluxe Edition)
Kickstart My Heart,Mötley Crüe,Rock,spotify:track:7GonnnalI2s19OCQO1J7Tf,https://open.spotify.com/track/7GonnnalI2s19OCQO1J7Tf,https://p.scdn.co/mp3-preview/caae765db662522588bf820b6730e12fd968ace1?cid=334acd00a2d445cb9077c0c4cf57f5a9,Dr. Feelgood
Edge of Seventeen - 2016 Remaster,Stevie Nicks,Rock,spotify:track:5LNiqEqpDc8TuqPy79kDBu,https://open.spotify.com/track/5LNiqEqpDc8TuqPy79kDBu,https://p.scdn.co/mp3-preview/3a2722ed50f054dc8965614dfc6782838c7554e0?cid=334acd00a2d445cb9077c0c4cf57f5a9,Bella Donna (Deluxe Edition)
Bad Moon Rising,Creedence Clearwater Revival,Rock,spotify:track:6NxsCnLeLd8Ai1TrgGxzIx,https://open.spotify.com/track/6NxsCnLeLd8Ai1TrgGxzIx,,Green River (40th Anniversary Edition)
Mary Jane's Last Dance,Tom Petty and the Heartbreakers,Rock,spotify:track:5eYwDBLucWfWI5KsV7oYX2,https://open.spotify.com/track/5eYwDBLucWfWI5KsV7oYX2,,Anthology: Through The Years
Wonderwall (Remastered),Oasis,Rock,spotify:track:5wj4E6IsrVtn8IBJQOd0Cl,https://open.spotify.com/track/5wj4E6IsrVtn8IBJQOd0Cl,https://p.scdn.co/mp3-preview/d2c5a17756fead2fafc4d9336edf1659f7142a74?cid=334acd00a2d445cb9077c0c4cf57f5a9,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered]
Under Pressure - Remastered 2011,Queen,Rock,spotify:track:2aSFLiDPreOVP6KHiWk4lF,https://open.spotify.com/track/2aSFLiDPreOVP6KHiWk4lF,,Greatest Hits II
Sharp Dressed Man - 2008 Remaster,ZZ Top,Rock,spotify:track:1UBQ5GK8JaQjm5VbkBZY66,https://open.spotify.com/track/1UBQ5GK8JaQjm5VbkBZY66,https://p.scdn.co/mp3-preview/d4f6bb9a03b4412530d731ce7a1f2afbb58ef4a5?cid=334acd00a2d445cb9077c0c4cf57f5a9,Eliminator
Are You Gonna Go My Way,Lenny Kravitz,Rock,spotify:track:45Ia1U4KtIjAPPU7Wv1Sea,https://open.spotify.com/track/45Ia1U4KtIjAPPU7Wv1Sea,,Are You Gonna Go My Way
Killing In The Name,Rage Against The Machine,Rock,spotify:track:59WN2psjkt1tyaxjspN8fp,https://open.spotify.com/track/59WN2psjkt1tyaxjspN8fp,https://p.scdn.co/mp3-preview/998d3604b68754c11bc0a9af64291ac1f91fb0d8?cid=334acd00a2d445cb9077c0c4cf57f5a9,Rage Against The Machine - XX (20th Anniversary Special Edition)
Master of Puppets (Remastered),Metallica,Rock,spotify:track:54bm2e3tk8cliUz3VSdCPZ,https://open.spotify.com/track/54bm2e3tk8cliUz3VSdCPZ,,Master of Puppets (Remastered Deluxe Box Set)
Song 2 - 2012 Remaster,Blur,Rock,spotify:track:1FTSo4v6BOZH9QxKc3MbVM,https://open.spotify.com/track/1FTSo4v6BOZH9QxKc3MbVM,https://p.scdn.co/mp3-preview/2c2b4ad08b6ef072182e9b38c386f54623aef4fc?cid=334acd00a2d445cb9077c0c4cf57f5a9,Blur (Special Edition)
More Than a Feeling,Boston,Rock,spotify:track:32kgOw8wejH7zUhtXCM8DH,https://open.spotify.com/track/32kgOw8wejH7zUhtXCM8DH,https://p.scdn.co/mp3-preview/4e8704349932ecb754e3c03cdf3b1563309627a0?cid=334acd00a2d445cb9077c0c4cf57f5a9,Boston
Carry on Wayward Son,Kansas,Rock,spotify:track:4DMKwE2E2iYDKY01C335Uw,https://open.spotify.com/track/4DMKwE2E2iYDKY01C335Uw,https://p.scdn.co/mp3-preview/189d19a38bab3a4ee0e6401f77903e3696bb522e?cid=334acd00a2d445cb9077c0c4cf57f5a9,Leftoverture (Expanded Edition)
